feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
NDM.new	Group	Sepsis	6.36826275243869	0.847616683593355	376	84	4.30949711737237e-13	8.05875960948633e-11
mphA	Group	Sepsis	-3.45889027521152	0.814484866781736	376	223	2.74044129711845e-05	0.00256231261280575
fabK	Group	Sepsis	2.87486829269812	0.711133829067119	376	256	6.41928604987898e-05	0.00300101622831842
tolC	Group	Sepsis	-4.40943007499981	1.08167854889522	376	237	5.59019003252793e-05	0.00300101622831842
acrB	Group	Sepsis	-4.35376314368559	1.09683906623462	376	235	8.64426828264064e-05	0.00319269374431187
tetW	Group	Sepsis	-3.95440029829698	1.00697461411549	376	133	0.000102439371475247	0.00319269374431187
catP	Group	Sepsis	-2.51859604236875	0.656967038150463	376	80	0.00014812701872154	0.00395710750013256
acrA	Group	Sepsis	-3.8315757371168	1.05366556936515	376	237	0.000315276836090121	0.00736959604360657
mdth	Group	Sepsis	-3.78245107601905	1.075591812157	376	257	0.000490884513956831	0.0101994893455475
IS613	Group	Sepsis	-2.80615476263305	0.807579852531847	376	117	0.000571327607154973	0.010683826253798
mdtE.yhiU	Group	Sepsis	-3.59896474960957	1.04414797522986	376	226	0.000631869295462421	0.0107417780228612
acrF	Group	Sepsis	-3.00537595242212	0.886005687334006	376	224	0.000767945962293183	0.0108916350598086
mdtA	Group	Sepsis	-3.6842837625911	1.09161687045915	376	246	0.000815416528541818	0.0108916350598086
sugE	Group	Sepsis	-3.08138798090702	0.910821075908399	376	250	0.000792690120412008	0.0108916350598086
tetC	Group	Sepsis	-1.99152706707989	0.598742543910191	376	115	0.000967642192034358	0.012063272660695
tet.32.	Group	Sepsis	-2.12575860154848	0.658657775504502	376	111	0.00135962137799597	0.014985484746607
vat.A.	Group	Sepsis	2.34555172473869	0.726901522843686	376	136	0.00136231679514609	0.014985484746607
copA	Group	Sepsis	2.13545586971625	0.671805046103517	376	140	0.00160293840315336	0.0157762884941936
lnuC	Group	Sepsis	-1.17004272210928	0.366777218961392	376	49	0.00154250927644844	0.0157762884941936
aac.3..iid_iii_iif_iia_iie	Group	Sepsis	2.79143287690447	0.92333708286804	376	276	0.0026738886172901	0.0219745037359701
dfrA27	Group	Sepsis	1.18981270701119	0.390844469760818	376	39	0.00249799988621428	0.0219745037359701
lnuA	Group	Sepsis	-1.48693266172201	0.49238219812168	376	68	0.00270274644880916	0.0219745037359701
tetO	Group	Sepsis	-2.40095714851674	0.789811296415745	376	130	0.00253336350615492	0.0219745037359701
aacC2	Group	Sepsis	2.24943352287246	0.750283215407618	376	244	0.00289848790877516	0.0225840516225398
vgaB	Group	Sepsis	1.3121780960401	0.440275004919491	376	50	0.00306729284566518	0.0229433504855755
IS200_2	Group	Sepsis	-2.75481327067509	0.945895148616035	376	182	0.00380242045998919	0.0273481779237684
folA	Group	Sepsis	-1.77132636219632	0.636889795045827	376	181	0.00569033947671733	0.0394108697091163
IncN_korA	Group	Sepsis	1.54544693229779	0.561379953244584	376	91	0.00619419617364122	0.0413683815882467
tnpA_5	Group	Sepsis	2.25846766382341	0.830304945484854	376	178	0.00683187418561727	0.0440538094038079
cfxA	Group	Sepsis	-2.32589687597465	0.864684163305326	376	139	0.00746871329355994	0.0450532059966357
dfra21	Group	Sepsis	-2.31594127270749	0.859613656916559	376	95	0.0073745380550938	0.0450532059966357
tetQ	Group	Sepsis	-2.01548477923879	0.765756875536407	376	147	0.008840013605389	0.051658829506492
IS200_1	Group	Sepsis	-1.67785455704698	0.644240543230409	376	112	0.00957138206861486	0.0542378317221509
Arr2	Group	Sepsis	1.13054911275159	0.442908257804633	376	70	0.0110906811918519	0.0609987465551855
blaSHV.11	Group	Sepsis	2.28048105536403	0.91981750531787	376	249	0.0136056547623789	0.0706738177934684
mobA	Group	Sepsis	1.26293155383304	0.508233878727713	376	66	0.0133944156195442	0.0706738177934684
tetPA	Group	Sepsis	-1.30848528396885	0.538588937660797	376	358	0.015591065090453	0.0787980857274245
blaCMY	Group	Sepsis	-1.75661155987615	0.727390343686579	376	238	0.0162172914991971	0.079806145009207
aadB	Group	Sepsis	1.85960149645025	0.781318712718288	376	201	0.0178093206910424	0.0845831218035189
blaGOB	Group	Sepsis	0.987124163099033	0.415773599941427	376	49	0.0180926463750843	0.0845831218035189
bla.ACT	Group	Sepsis	-1.9312244985542	0.827592577056256	376	162	0.0201487989442402	0.0918981805505591
lnu.F.	Group	Sepsis	-1.68747046508188	0.729076471418645	376	103	0.0211804637708286	0.0943034934558321
adeA	Group	Sepsis	1.41223905180906	0.612644557639738	376	121	0.0217048380922173	0.0943908075173169
msr.A.	Group	Sepsis	-1.55936159275696	0.689447266014481	376	120	0.0242886452284972	0.103226742221113
tetB	Group	Sepsis	-1.59770526629879	0.717165058742554	376	136	0.0264887474695095	0.110075461706628
blaPAO.PDC	Group	Sepsis	1.05393670536229	0.476971566228869	376	38	0.0277352187809885	0.112166158542555
