feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
aacC2	Any_Ab_use	Any_Ab_use	1.05733733581686	0.343901690408768	376	244	0.00227822079275525	0.110339001912349
emrD	Any_Ab_use	Any_Ab_use	-0.80996067081501	0.260845818109167	376	113	0.00204693612397412	0.110339001912349
IS200_2	Any_Ab_use	Any_Ab_use	-1.30423816933004	0.435808139613028	376	182	0.00295024069284355	0.110339001912349
IS91	Any_Ab_use	Any_Ab_use	-1.1857145836187	0.367643559312037	376	118	0.0013749717748518	0.110339001912349
lncF_FIC	Any_Ab_use	Any_Ab_use	-0.560582365316062	0.18514617182531	376	41	0.00265736114632499	0.110339001912349
aphA1	Any_Ab_use	Any_Ab_use	0.856077701189607	0.311947055681098	376	166	0.0063562148775289	0.138976784611127
Arr2	Any_Ab_use	Any_Ab_use	0.546000667623708	0.198799885522943	376	70	0.00631498273358673	0.138976784611127
NDM.new	Any_Ab_use	Any_Ab_use	1.10452558850134	0.405006187663621	376	84	0.00668872225401148	0.138976784611127
qnrB46.47.48	Any_Ab_use	Any_Ab_use	1.20192144722064	0.433372013115936	376	146	0.00583283960643442	0.138976784611127
vga.A.LC	Any_Ab_use	Any_Ab_use	-0.76610175476522	0.286352323101031	376	84	0.0077923828271117	0.145717558866989
dfrA27	Any_Ab_use	Any_Ab_use	0.462108765653207	0.176127942630611	376	39	0.00905385251785617	0.153915492803555
aph.3....ia	Any_Ab_use	Any_Ab_use	0.687538310229896	0.272902305926228	376	158	0.0121729373018376	0.165366404674943
bexA.norM	Any_Ab_use	Any_Ab_use	-0.617256287230497	0.245595984802247	376	72	0.0123803725425091	0.165366404674943
strB	Any_Ab_use	Any_Ab_use	0.771381234835663	0.303462220769157	376	263	0.0114267928056792	0.165366404674943
