feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
NDM.new	Group	Sepsis	6.61537877403133	1.15575643689013	135	42	6.67629161244354e-08	1.15499844895273e-05
copA	Group	Sepsis	4.55260047140514	0.958694284071227	135	53	5.25649597652894e-06	0.000454686901969754
blaZ	Group	Sepsis	-4.35014127382972	0.993154412338582	135	88	2.38342136548695e-05	0.00137443965409747
msr.A.	Group	Sepsis	-4.84433896026508	1.15997011600677	135	73	5.34908410108955e-05	0.00185078309897699
tnpA_5	Group	Sepsis	5.45467803717879	1.30042959462193	135	63	4.98261314404199e-05	0.00185078309897699
blaGOB	Group	Sepsis	2.39579543609083	0.712974469917147	135	20	0.00101648105660519	0.0293085371321164
IS256	Group	Sepsis	-3.31462017060051	1.00144950062977	135	70	0.00120379467333939	0.0297509254982449
blaFOXnew	Group	Sepsis	1.39797300024045	0.454784259226161	135	14	0.00256746601958426	0.0528312382493884
mecA	Group	Sepsis	-3.14851455553815	1.0317447097537	135	87	0.00274844592048841	0.0528312382493884
IS200_2	Group	Sepsis	-4.40051473316538	1.48880245395298	135	59	0.00369556141330787	0.0639332124502262
tolC	Group	Sepsis	-4.9624180521541	1.7108041641655	135	95	0.00436401216863084	0.0686340095611941
IS26	Group	Sepsis	-2.39991314792796	0.841539149927774	135	100	0.00504174166408128	0.0726851089905051
bla.ACT	Group	Sepsis	-3.94186621591835	1.46121895762244	135	73	0.00788785430791059	0.0974713425191809
mphA	Group	Sepsis	-3.7202387727831	1.3710465146262	135	90	0.00754100093951459	0.0974713425191809
aac.3..iid_iii_iif_iia_iie	Group	Sepsis	3.73758428825706	1.44519556426458	135	111	0.0107874026214068	0.10005022949532
aac3.Via	Group	Sepsis	2.88314752714109	1.12700498096026	135	91	0.0116491915313168	0.10005022949532
aacC2	Group	Sepsis	3.05005873311101	1.18931010115295	135	102	0.0114493185539352	0.10005022949532
ISEcp1	Group	Sepsis	-3.7626908635947	1.46223465920529	135	74	0.0111795150441373	0.10005022949532
lnuA	Group	Sepsis	-2.03898954842987	0.795008317060029	135	32	0.0114351730352648	0.10005022949532
msr.C.	Group	Sepsis	2.09034411774633	0.802919567906595	135	35	0.0102858383356453	0.10005022949532
tetW	Group	Sepsis	-2.97524170840246	1.16997860623354	135	31	0.0121448255456747	0.10005022949532
folA	Group	Sepsis	-2.57162346745056	1.02203257892725	135	66	0.013061313549526	0.102709420184909
mdth	Group	Sepsis	-4.22156602479941	1.74279223168821	135	100	0.016779723669606	0.126212704123558
mdtA	Group	Sepsis	-4.22141238542888	1.75980178288935	135	95	0.0178466622382599	0.12864469030079
acrB	Group	Sepsis	-3.85641068404297	1.63006724899953	135	96	0.0194459391925885	0.129390287704531
Pbp5	Group	Sepsis	1.56575995729064	0.661881821266804	135	33	0.0194441527508404	0.129390287704531
Tn3	Group	Sepsis	-2.59828288890725	1.17780157560398	135	103	0.0291106503788609	0.186523796871961
erm.C.	Group	Sepsis	-2.70875283371704	1.24428292326179	135	70	0.0312487051213149	0.19307235664241
mexA	Group	Sepsis	1.70081839221646	0.788529374219371	135	20	0.0328209772136693	0.195794105447062
oprD	Group	Sepsis	1.85928447898377	0.873641701986539	135	63	0.0351647388981867	0.20278332764621
acrA	Group	Sepsis	-3.19267195801611	1.53054903894488	135	95	0.0389064508097379	0.203964120911656
blaPAO.PDC	Group	Sepsis	1.60952447588108	0.770189396638339	135	21	0.0385424396019905	0.203964120911656
mefA	Group	Sepsis	-1.83881134170479	0.877082455193036	135	56	0.037931266880879	0.203964120911656
IncN_korA	Group	Sepsis	2.10193121496717	1.01492666419255	135	41	0.0403048895481105	0.205080761524209
ISEfm1.Entero	Group	Sepsis	2.48998026753572	1.21047105079345	135	62	0.0416373796009609	0.205807619170464
emrD	Group	Sepsis	-2.15193575105021	1.05903084211719	135	50	0.0441610938898498	0.212218590081778
qnrD	Group	Sepsis	-1.30675382535409	0.655172523072046	135	14	0.0481397805325741	0.225086000868522
pica	Group	Sepsis	1.2250104363173	0.621711905277952	135	30	0.0508872069622769	0.231670705380892
dfrA12	Group	Sepsis	-1.45933626357295	0.751329799737888	135	24	0.0542096215071889	0.24046832104471
