feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
aadB	Group	Sepsis	4.12554856619279	1.09823144684721	134	54	0.000257486633015077	0.0193114974761308
NDM.new	Group	Sepsis	3.76018568038466	0.954272335234153	134	37	0.000131218137706747	0.0193114974761308
blaSHV.11	Group	Sepsis	5.25748315431295	1.52008501695879	134	62	0.000731248027386162	0.0274218010269811
tetPA	Group	Sepsis	-2.89466026953933	0.827750631912599	134	121	0.000641509033224417	0.0274218010269811
aacC2	Group	Sepsis	3.5901611419291	1.07577594467603	134	62	0.00109936147027258	0.0329808441081775
aac.3..iid_iii_iif_iia_iie	Group	Sepsis	4.34052879104695	1.40802876377798	134	76	0.00249801628585674	0.0561168344888818
intI1F165_clinical	Group	Sepsis	-2.26392865943099	0.73801403532081	134	121	0.00261878560948115	0.0561168344888818
aacA43	Group	Sepsis	-2.65985697766775	0.885667496455521	134	130	0.00319651636874854	0.0599346819140351
aac3.Via	Group	Sepsis	3.45784708162945	1.25070886215788	134	73	0.00651317660981736	0.0976976491472604
oqxA	Group	Sepsis	2.90664187664285	1.03919023349646	134	65	0.00592920958766772	0.0976976491472604
tnpA_3	Group	Sepsis	2.83708144499137	1.05579568938537	134	31	0.00813398038803448	0.110917914382288
aadA7	Group	Sepsis	-2.93496105233745	1.13125752483006	134	94	0.0105456445256332	0.131820556570415
blaLEN	Group	Sepsis	2.02208395271456	0.802917952844001	134	44	0.012982853663278	0.139102003535121
erm.Q.	Group	Sepsis	1.93786006398701	0.768430792747232	134	29	0.0128631313130149	0.139102003535121
ISEcp1	Group	Sepsis	2.83396680781576	1.21577612084942	134	66	0.0212689836343837	0.212689836343837
fabK	Group	Sepsis	2.54611119492421	1.14631451040523	134	90	0.0280466588520193	0.233722157100161
IncN_korA	Group	Sepsis	1.42409292423122	0.631414638662044	134	21	0.0257540863593766	0.233722157100161
mobA	Group	Sepsis	1.89536525851131	0.847509835717806	134	21	0.0270044236965154	0.233722157100161
aph3via	Group	Sepsis	1.60236951534198	0.763142206566038	134	16	0.0376588920327209	0.235368075204506
IncI1_repI1	Group	Sepsis	2.89548816074889	1.34262858470555	134	56	0.0328588327486884	0.235368075204506
IS3	Group	Sepsis	2.59252614241214	1.22218624522914	134	50	0.0357727828912221	0.235368075204506
pcoA	Group	Sepsis	2.57103445233753	1.21989531275803	134	74	0.0369644873444953	0.235368075204506
tnpA_5	Group	Sepsis	2.0426899408637	0.971943683920507	134	34	0.0374840989724902	0.235368075204506
vat.A.	Group	Sepsis	2.4539664219977	1.16796186531956	134	55	0.0375365458139068	0.235368075204506
orf39.IS26	Group	Sepsis	2.94170551547786	1.44093573258516	134	56	0.0431911831859463	0.245235220610755
pica	Group	Sepsis	1.15378231279333	0.566236030884342	134	21	0.0435846516890068	0.245235220610755
tetL	Group	Sepsis	2.39161531728607	1.17680922689874	134	29	0.044142339709936	0.245235220610755
